1|Skoda|Octavia|STANDARD
2|Toyota|Yaris|ECONOMY
3|BMW|X5|LUXURY
4|Renault|Megane|FAMILY
5|Volkswagen|Golf|STANDARD
6|Volkswagen|Polo|ECONOMY
7|Audi|A4|STANDARD
8|Audi|A6|LUXURY
9|Mercedes-Benz|C-Class|LUXURY
10|Mercedes-Benz|E-Class|LUXURY
11|Ford|Focus|STANDARD
12|Ford|Fiesta|ECONOMY
13|Peugeot|208|ECONOMY
14|Peugeot|3008|FAMILY
15|Hyundai|Tucson|FAMILY
16|Hyundai|i30|STANDARD
17|Kia|Sportage|FAMILY
18|Toyota|Corolla|STANDARD
19|Nissan|Qashqai|FAMILY
20|Porsche|Macan|LUXURY
21|Skoda|Superb|STANDARD
