1|1|BG-123-AA|RASPOLOZIVO
2|1|BG-124-AA|IZNAJMLJENO
3|2|NS-456-BB|RASPOLOZIVO
4|3|NI-789-CC|RASPOLOZIVO
5|4|SU-999-DD|RASPOLOZIVO
6|5|BG-201-XX|RASPOLOZIVO
7|5|BG-202-XX|RASPOLOZIVO
8|5|NS-101-YY|IZNAJMLJENO
9|8|NI-333-ZZ|RASPOLOZIVO
10|8|NI-334-ZZ|RASPOLOZIVO
11|18|SU-505-WW|RASPOLOZIVO
12|18|SU-506-WW|IZNAJMLJENO
13|15|BG-777-QQ|RASPOLOZIVO
14|15|NS-888-QQ|RASPOLOZIVO
15|2|BG-111-MM|RASPOLOZIVO
16|6|BG-006-AA|RASPOLOZIVO
17|7|BG-007-BB|RASPOLOZIVO
18|9|NI-009-CC|RASPOLOZIVO
19|10|NS-010-DD|RASPOLOZIVO
20|11|BG-011-EE|RASPOLOZIVO
21|12|NS-012-FF|RASPOLOZIVO
22|13|NI-013-GG|RASPOLOZIVO
23|14|SU-014-HH|RASPOLOZIVO
24|16|BG-016-II|RASPOLOZIVO
25|17|NS-017-JJ|RASPOLOZIVO
26|19|BG-019-KK|RASPOLOZIVO
27|20|KG-011-FC|RASPOLOZIVO
28|21|KK-123-SS|RASPOLOZIVO
